Date,Startup Name,Industry,Sub-vertical,Location,Investors,Investment Type,Amount in USD,Website URL
2021-04-14,Swiggy,Online Food Delivery,Online Food Delivery,Bengaluru,"Amansa Holdings, Carmignac, Falcon Edge Capital, Goldman Sachs, Think Investments",Series J,343000000.0,https://www.swiggy.com/
2021-04-14,Beldara,E-commerce,Global B2B marketplace,Mumbai,Hindustan Media Ventures,Venture,7400000.0,https://beldara.com/
2021-04-07,Groww,FinTech,Investment platform,Bengaluru,"MC Global Edtech, B Capital, Baron, others",Series D,83000000.0,https://groww.in/
2021-04-05,Meesho,E-commerce,Online reselling platform,Bengaluru,SoftBank Vision Fund 2,Series E,300000000.0,http://www.meesho.com/
2021-04-01,BYJU’S,Edu-tech,Online tutoring,Bengaluru,Innoven Capital,Series F,460000000.0,http://www.byjus.com/
2021-03-31,Uniphore,Technology,Conversational Service Automation (CSA),Palo Alto,Sorenson Capital Partners,Series D,140000000.0,http://uniphore.com/
2021-03-30,BYJU’S,Edu-tech,Online tutoring,Bengaluru,"MC Global Edtech, B Capital, Baron, others",Series F,460000000.0,http://www.byjus.com/
2021-03-30,Dunzo,E-commerce,Hyper-local delivery app,Bengaluru,Krishtal Advisors Pte Ltd,Series E,8000000.0,http://dunzo.in/
2021-03-26,DotPe,FinTech,Commerce and payments platform to offline enterprise businesses.,Gurgaon,PayU,Series A,27500000.0,https://dotpe.in/
2021-03-25,CityMall,E-commerce,Social ecommerce and online grocery platform,Gurgaon,Accel Partners,Series A,11000000.0,https://www.citymall.live/
2021-03-23,SkilloVilla,Edu-tech,Career and job-oriented upskilling.,Bengaluru,"Titan Capital, others",Seed,300000000.0,https://www.skillovilla.com/
2021-03-04,DealShare,E-commerce,Online shopping platform,"Jaipur, Rajasthan",Innoven Capital,Debt Financing,250000000.0,https://www.dealshare.in/
2021-02-22,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,"Tiger Global, Kora",Venture,250000000.0,https://www.zomato.com/
2021-02-19,Fingerlix,Hospitality,Semi-cooked food delivery app,Mumbai,"Rhodium Trust, Accel Partners and Swiggy",Series C,2747045.2,https://www.fingerlix.com/
2021-02-17,Zolve,FinTech,Global Neobank Venture,Mumbai,Accel Partners and Lightspeed Venture Partners,Seed,15000000.0,https://zolve.com/
2021-02-15,KreditBee,Finance,Digital lending platform,Bengaluru,Azim Premji’s PremjiInvest and South Korea’s Mirae Asset Venture,Series C,75000000.0,https://www.kreditbee.in/
2021-02-12,Pepperfry,E-commerce,Multi-brand furniture brand,Mumbai,InnoVen Capital,Debt Financing,4773958.0,http://www.pepperfry.com/
2021-02-12,Grofers,E-Commerce,Online supermarket,Gurgaon,SoftBank Vision Fund (SVF),Unspecified,55000000.0,http://grofers.com/
2021-02-11,Doubtnut,Edu Tech,E-Learning Platform,Gurgaon,"SIG Global, Sequoia Capital, WaterBridge Ventures and ON Mauritius",Series B,2500000.0,http://www.doubtnut.com/
2021-02-09,Nothing,Technology,Consumer Technology Venture,London,GV,Series A,15000000.0,https://nothing.tech/
2021-02-09,SplashLearn,EdTech,Game-based learning programme,Gurgaon,Owl Ventures,Series C,18000000.0,https://www.splashlearn.com/
2021-01-28,Bombay Shaving Company,Consumer Goods Company,"Shave care, beard care, and skincare products",New Delhi,Reckitt Benckiser,Venture,6172258.5,https://www.bombayshavingcompany.com/
2021-01-19,Darwinbox,SaaS,HR Tech,Mumbai,Salesforce Ventures,Seed,15000000.0,https://darwinbox.com/
2021-01-19,DeHaat,AgriTech Startup,online marketplace for farm products and services,Patna,Prosus Ventures,Series C,30000000.0,http://agrevolution.in/
2021-01-18,mfine,Health Tech Startup,AI-powered telemedicine mobile app,Bengaluru,Heritas Capital Management,Venture Round,16000000.0,https://www.mfine.co/
2021-01-18,Udayy,EdTech,Online learning platform for kids in class 1-5,Gurgaon,Sequoia Capital ,Seed Funding,15000000.0,https://www.udayy.com/
2021-01-15,Digit Insurance,Financial Services,Insurance Services,Bengaluru,"A91 Partners, Faering Capital, TVS Capital Funds",Venture,18000000.0,https://godigit.com/
2021-01-13,Saveo,B2B E-commerce,Pharmacies,Bengaluru,"Matrix Partners India, RTP Global, others",Seed,4000000.0,https://www.saveo.in/
